;index;IF_NUMBER;PART;NAME;CINEMATIC_PATH;DATE_MEASUREMENT;DISPLACEMENT;DIRECTION;IDX_POINT;MEASUREMENT_VALUE;DANGER_HIGH;ALARM_HIGH;ALARM_LOW;uuid;klantFK;naam;if
0;0;WULROIF112;1-Electric motor-NDE;Electric motor;799_1524_RADIAL1;2021-10-21 08:46:07;Overall Vib Vel;1RH;2;21.290794;4.5;2.8;0.0;b0ca5eb2fe00485b94dc50534bde4939;1161;Wulro - Weert;IF112
1;1;WULROIF112;1-Electric motor-NDE;Electric motor;799_1524_AXIAL;2021-10-21 08:46:07;Overall Vib Vel;1Ax;1;13.187377;4.5;2.8;0.0;89afc7d4c79342bea0af42c02b8a853b;1161;Wulro - Weert;IF112
2;2;WULROIF112;1-Electric motor-NDE;Electric motor;799_1524_RADIAL2;2021-10-21 08:46:07;Overall Vib Vel;1RV;3;5.6598859;4.5;2.8;0.0;b1c68cec066d494b8d3dfcc7d54134e9;1161;Wulro - Weert;IF112
3;3;WULROIF112;1-Electric motor-NDE;Electric motor;799_1524_RADIAL1;2021-10-21 08:46:08;Overall Acc;1RH;2;0.51798421;4.0;2.0;0.0;0b07a74ae10b4705bb7fa73d70bbd086;1161;Wulro - Weert;IF112
4;4;WULROIF112;1-Electric motor-NDE;Electric motor;799_1524_AXIAL;2021-10-21 08:46:08;Overall Acc;1Ax;1;0.34992692;4.0;2.0;0.0;cbebe3c487a94f0db813b7f8a7876b6d;1161;Wulro - Weert;IF112
5;5;WULROIF112;1-Electric motor-NDE;Electric motor;799_1524_RADIAL2;2021-10-21 08:46:08;Overall Acc;1RV;3;0.58854592;4.0;2.0;0.0;a3a73eb9781f474391d0400f6780ed3f;1161;Wulro - Weert;IF112
6;6;WULROIF112;2-Electric motor-DE;Electric motor;799_1525_RADIAL1;2021-10-21 08:46:31;Overall Vib Vel;2RH;5;7.6343961;4.5;2.8;0.0;a5766e2b2dd34e819b41ad7ee2a2c4c3;1161;Wulro - Weert;IF112
7;7;WULROIF112;2-Electric motor-DE;Electric motor;799_1525_AXIAL;2021-10-21 08:46:31;Overall Vib Vel;2Ax;4;10.686049;4.5;2.8;0.0;ef54d458d2a94e6cb2ab3a59f43ddfdd;1161;Wulro - Weert;IF112
8;8;WULROIF112;2-Electric motor-DE;Electric motor;799_1525_RADIAL2;2021-10-21 08:46:31;Overall Vib Vel;2RV;6;4.6846347;4.5;2.8;0.0;e1358465affa41d5b5d9d151f5c75758;1161;Wulro - Weert;IF112
9;9;WULROIF112;2-Electric motor-DE;Electric motor;799_1525_RADIAL1;2021-10-21 08:46:32;Overall Acc;2RH;5;0.15880617;4.0;2.0;0.0;667f07df40fc44bf8c55e1e53740a5fc;1161;Wulro - Weert;IF112
10;10;WULROIF112;2-Electric motor-DE;Electric motor;799_1525_AXIAL;2021-10-21 08:46:32;Overall Acc;2Ax;4;0.22760825;4.0;2.0;0.0;5dfb0f0b84bf402d95eb855e04ed8064;1161;Wulro - Weert;IF112
11;11;WULROIF112;2-Electric motor-DE;Electric motor;799_1525_RADIAL2;2021-10-21 08:46:32;Overall Acc;2RV;6;0.21390459;4.0;2.0;0.0;c6e0eafb29e74b6e935efffbd7279986;1161;Wulro - Weert;IF112
12;12;WULROIF112;3-Pump-DE;Pump;801_1526_RADIAL1;2021-10-21 08:48:08;Overall Vib Vel;3RH;8;16.285881;4.5;2.8;0.0;8f833181d5864da2abb22948c113067b;1161;Wulro - Weert;IF112
13;13;WULROIF112;3-Pump-DE;Pump;801_1526_AXIAL;2021-10-21 08:48:08;Overall Vib Vel;3Ax;7;15.780688;4.5;2.8;0.0;210b1a45ad11456081cf87c614ed787d;1161;Wulro - Weert;IF112
14;14;WULROIF112;3-Pump-DE;Pump;801_1526_RADIAL2;2021-10-21 08:48:08;Overall Vib Vel;3RV;9;11.067709;4.5;2.8;0.0;248aeab5a682476f8b8bff521782fe0a;1161;Wulro - Weert;IF112
15;15;WULROIF112;3-Pump-DE;Pump;801_1526_RADIAL1;2021-10-21 08:48:09;Overall Acc;3RH;8;0.36521432;4.0;2.0;0.0;f14622bfce9d418c8f607d46e77d2d83;1161;Wulro - Weert;IF112
16;16;WULROIF112;3-Pump-DE;Pump;801_1526_AXIAL;2021-10-21 08:48:09;Overall Acc;3Ax;7;0.21996988;4.0;2.0;0.0;3a6bde1d099b4d7cbc2025033707460d;1161;Wulro - Weert;IF112
17;17;WULROIF112;3-Pump-DE;Pump;801_1526_RADIAL2;2021-10-21 08:48:09;Overall Acc;3RV;9;0.62454969;4.0;2.0;0.0;d36915d1b3164a9c80dbed1487401f37;1161;Wulro - Weert;IF112
18;18;WULROIF112;4-Pump-NDE;Pump;801_1527_RADIAL1;2021-10-21 08:48:38;Overall Vib Vel;4RH;11;14.195948;4.5;2.8;0.0;3674a83bf31a434696a2ca88690c5a71;1161;Wulro - Weert;IF112
19;19;WULROIF112;4-Pump-NDE;Pump;801_1527_AXIAL;2021-10-21 08:48:38;Overall Vib Vel;4Ax;10;15.800455;4.5;2.8;0.0;a33d83611bcb4a11beb701ea56f8b950;1161;Wulro - Weert;IF112
20;20;WULROIF112;4-Pump-NDE;Pump;801_1527_RADIAL2;2021-10-21 08:48:38;Overall Vib Vel;4RV;12;7.7674527;4.5;2.8;0.0;fa968000608b4a4a9f0bceaf98860ac0;1161;Wulro - Weert;IF112
21;21;WULROIF112;4-Pump-NDE;Pump;801_1527_RADIAL1;2021-10-21 08:48:39;Overall Acc;4RH;11;0.36010814;4.0;2.0;0.0;1b4c62e1d36c466a8785256d830088c3;1161;Wulro - Weert;IF112
22;22;WULROIF112;4-Pump-NDE;Pump;801_1527_AXIAL;2021-10-21 08:48:39;Overall Acc;4Ax;10;0.2375375;4.0;2.0;0.0;ec704a0fe09545149fe6de1c6d3c3ec8;1161;Wulro - Weert;IF112
23;23;WULROIF112;4-Pump-NDE;Pump;801_1527_RADIAL2;2021-10-21 08:48:39;Overall Acc;4RV;12;0.62689984;4.0;2.0;0.0;d2e0722994ab40c59a00527005816114;1161;Wulro - Weert;IF112
24;0;WULROIF122;1-Electric motor-NDE;Electric motor;799_1524_RADIAL1;2021-07-27 08:29:32;Overall Vib Vel;1RH;2;23.625494;4.5;2.8;0.0;d1eca22e448a4f43bcf436239be1d404;1161;Wulro - Weert;IF112
25;1;WULROIF122;1-Electric motor-NDE;Electric motor;799_1524_AXIAL;2021-07-27 08:29:32;Overall Vib Vel;1Ax;1;21.250439;4.5;2.8;0.0;4552358fd0cc4e95a4aea34e353ce052;1161;Wulro - Weert;IF112
26;2;WULROIF122;1-Electric motor-NDE;Electric motor;799_1524_RADIAL2;2021-07-27 08:29:32;Overall Vib Vel;1RV;3;43.70837;4.5;2.8;0.0;7be5ddd6878241a6981c89c7e95586b4;1161;Wulro - Weert;IF112
27;3;WULROIF122;1-Electric motor-NDE;Electric motor;799_1524_RADIAL1;2021-07-27 08:29:33;Overall Acc;1RH;2;0.49471334;4.0;2.0;0.0;9f7cdca8f2904776b97a56ed6fc11ba5;1161;Wulro - Weert;IF112
28;4;WULROIF122;1-Electric motor-NDE;Electric motor;799_1524_AXIAL;2021-07-27 08:29:33;Overall Acc;1Ax;1;0.43136534;4.0;2.0;0.0;d5ad5131c21041bdb4cef383bfda1834;1161;Wulro - Weert;IF112
29;5;WULROIF122;1-Electric motor-NDE;Electric motor;799_1524_RADIAL2;2021-07-27 08:29:33;Overall Acc;1RV;3;0.67116487;4.0;2.0;0.0;b54a0e80a5084e178b84aede2b3c02c3;1161;Wulro - Weert;IF112
30;6;WULROIF122;2-Electric motor-DE;Electric motor;799_1525_RADIAL1;2021-07-27 08:30:00;Overall Vib Vel;2RH;5;28.070761;4.5;2.8;0.0;dcaf48d4ce41420fad96db3e480f8db5;1161;Wulro - Weert;IF112
31;7;WULROIF122;2-Electric motor-DE;Electric motor;799_1525_AXIAL;2021-07-27 08:30:00;Overall Vib Vel;2Ax;4;16.348009;4.5;2.8;0.0;f34ceb8cf3874c86b73b98db4cd43e76;1161;Wulro - Weert;IF112
32;8;WULROIF122;2-Electric motor-DE;Electric motor;799_1525_RADIAL2;2021-07-27 08:30:00;Overall Vib Vel;2RV;6;27.661697;4.5;2.8;0.0;d8f916211b14467691144f453ef2ce35;1161;Wulro - Weert;IF112
33;9;WULROIF122;2-Electric motor-DE;Electric motor;799_1525_RADIAL1;2021-07-27 08:30:01;Overall Acc;2RH;5;0.95060045;4.0;2.0;0.0;ddbadad3fbba4bd09ecf1ef4ce497b6f;1161;Wulro - Weert;IF112
34;10;WULROIF122;2-Electric motor-DE;Electric motor;799_1525_AXIAL;2021-07-27 08:30:01;Overall Acc;2Ax;4;0.65656835;4.0;2.0;0.0;81b66f9de04f484085961ac78d05d078;1161;Wulro - Weert;IF112
35;11;WULROIF122;2-Electric motor-DE;Electric motor;799_1525_RADIAL2;2021-07-27 08:30:01;Overall Acc;2RV;6;0.74645585;4.0;2.0;0.0;b4f87d2b252145d89bcb01caab8925a8;1161;Wulro - Weert;IF112
36;12;WULROIF122;3-Pump-DE;Pump;801_1526_RADIAL1;2021-07-27 08:30:31;Overall Vib Vel;3RH;8;30.860588;4.5;2.8;0.0;79b3643f9988451e9c04ab850da6c40d;1161;Wulro - Weert;IF112
37;13;WULROIF122;3-Pump-DE;Pump;801_1526_AXIAL;2021-07-27 08:30:31;Overall Vib Vel;3Ax;7;12.115197;4.5;2.8;0.0;48ebde73d13c44fb81093921812cdc54;1161;Wulro - Weert;IF112
38;14;WULROIF122;3-Pump-DE;Pump;801_1526_RADIAL2;2021-07-27 08:30:31;Overall Vib Vel;3RV;9;12.408134;4.5;2.8;0.0;b4408bc447074e6da07ac42379b535a8;1161;Wulro - Weert;IF112
39;15;WULROIF122;3-Pump-DE;Pump;801_1526_RADIAL1;2021-07-27 08:30:32;Overall Acc;3RH;8;1.6007468;4.0;2.0;0.0;f1ef1d53436b43adada0de3e731e8e99;1161;Wulro - Weert;IF112
40;16;WULROIF122;3-Pump-DE;Pump;801_1526_AXIAL;2021-07-27 08:30:32;Overall Acc;3Ax;7;0.56310242;4.0;2.0;0.0;6f1d10468c3b4e258c96a23799e38916;1161;Wulro - Weert;IF112
41;17;WULROIF122;3-Pump-DE;Pump;801_1526_RADIAL2;2021-07-27 08:30:32;Overall Acc;3RV;9;0.97026664;4.0;2.0;0.0;0845ae2a5f9b4378abc4ebd5ffa20363;1161;Wulro - Weert;IF112
42;18;WULROIF122;4-Pump-NDE;Pump;801_1527_RADIAL1;2021-07-27 08:30:55;Overall Vib Vel;4RH;11;26.845964;4.5;2.8;0.0;702bdc347ce2417a89c8acc828e0156c;1161;Wulro - Weert;IF112
43;19;WULROIF122;4-Pump-NDE;Pump;801_1527_AXIAL;2021-07-27 08:30:55;Overall Vib Vel;4Ax;10;10.221003;4.5;2.8;0.0;96b486bb169b422a8adf00126980b3b8;1161;Wulro - Weert;IF112
44;20;WULROIF122;4-Pump-NDE;Pump;801_1527_RADIAL2;2021-07-27 08:30:55;Overall Vib Vel;4RV;12;10.878292;4.5;2.8;0.0;ad58556dcc6547a6a99eee690b14e30e;1161;Wulro - Weert;IF112
45;21;WULROIF122;4-Pump-NDE;Pump;801_1527_RADIAL1;2021-07-27 08:30:56;Overall Acc;4RH;11;1.3347934;4.0;2.0;0.0;b1c713f97615416cab881e09ded48bf3;1161;Wulro - Weert;IF112
46;22;WULROIF122;4-Pump-NDE;Pump;801_1527_AXIAL;2021-07-27 08:30:56;Overall Acc;4Ax;10;0.63170874;4.0;2.0;0.0;9787ca84b7a345a3b612906bfc45ddbd;1161;Wulro - Weert;IF112
47;23;WULROIF122;4-Pump-NDE;Pump;801_1527_RADIAL2;2021-07-27 08:30:56;Overall Acc;4RV;12;0.70855075;4.0;2.0;0.0;36a1c4f01fc449e08e020219f3179bf9;1161;Wulro - Weert;IF112
48;0;WULROIF112;1-Electric motor-NDE;Electric motor;799_1524_RADIAL1;2021-03-25 08:57:49;Overall Vib Vel;1RH;2;3.4319742;4.5;2.8;0.0;76a4768212fc4329a43335271c748895;1161;Wulro - Weert;IF112
49;1;WULROIF112;1-Electric motor-NDE;Electric motor;799_1524_AXIAL;2021-03-25 08:57:49;Overall Vib Vel;1Ax;1;4.0944533;4.5;2.8;0.0;b5b6ac2d1f4044ae931cadcd227fbdc6;1161;Wulro - Weert;IF112
50;2;WULROIF112;1-Electric motor-NDE;Electric motor;799_1524_RADIAL2;2021-03-25 08:57:49;Overall Vib Vel;1RV;3;1.3722941;4.5;2.8;0.0;bba627611496432ebc77232ce34a726c;1161;Wulro - Weert;IF112
51;3;WULROIF112;1-Electric motor-NDE;Electric motor;799_1524_RADIAL1;2021-03-25 08:57:50;Overall Acc;1RH;2;0.14681627;4.0;2.0;0.0;d534ba7db57b4204b92aa4816a263ebc;1161;Wulro - Weert;IF112
52;4;WULROIF112;1-Electric motor-NDE;Electric motor;799_1524_AXIAL;2021-03-25 08:57:50;Overall Acc;1Ax;1;0.15821852;4.0;2.0;0.0;a11d6a941a3b4f899916034983a115a8;1161;Wulro - Weert;IF112
53;5;WULROIF112;1-Electric motor-NDE;Electric motor;799_1524_RADIAL2;2021-03-25 08:57:50;Overall Acc;1RV;3;0.18589628;4.0;2.0;0.0;e88ad26c5eda43d68c9c7a681672f679;1161;Wulro - Weert;IF112
54;6;WULROIF112;2-Electric motor-DE;Electric motor;799_1525_RADIAL1;2021-03-25 08:58:34;Overall Vib Vel;2RH;5;2.7164969;4.5;2.8;0.0;415722006b194f67adb4c643e4626522;1161;Wulro - Weert;IF112
55;7;WULROIF112;2-Electric motor-DE;Electric motor;799_1525_AXIAL;2021-03-25 08:58:34;Overall Vib Vel;2Ax;4;2.8311102;4.5;2.8;0.0;8919b01b1bf345db8f006ab05b8fc82e;1161;Wulro - Weert;IF112
56;8;WULROIF112;2-Electric motor-DE;Electric motor;799_1525_RADIAL2;2021-03-25 08:58:34;Overall Vib Vel;2RV;6;0.96987891;4.5;2.8;0.0;0f43508fa00b4671858f9fc79e408242;1161;Wulro - Weert;IF112
57;9;WULROIF112;2-Electric motor-DE;Electric motor;799_1525_RADIAL1;2021-03-25 08:58:35;Overall Acc;2RH;5;0.10606626;4.0;2.0;0.0;0c581ae3787f4b97a2f6d06fea49eb98;1161;Wulro - Weert;IF112
58;10;WULROIF112;2-Electric motor-DE;Electric motor;799_1525_AXIAL;2021-03-25 08:58:35;Overall Acc;2Ax;4;0.11808479;4.0;2.0;0.0;d0cbc3c2482141c294e09dc8f69f74e9;1161;Wulro - Weert;IF112
59;11;WULROIF112;2-Electric motor-DE;Electric motor;799_1525_RADIAL2;2021-03-25 08:58:35;Overall Acc;2RV;6;0.24112509;4.0;2.0;0.0;3d1a23c32a8e4d2dbcb16588360d9ce3;1161;Wulro - Weert;IF112
60;12;WULROIF112;3-Pump-DE;Pump;801_1526_RADIAL1;2021-03-25 08:59:33;Overall Vib Vel;3RH;8;5.1948609;4.5;2.8;0.0;7e988f1c4ff849f48eaa5fc9151c44a3;1161;Wulro - Weert;IF112
61;13;WULROIF112;3-Pump-DE;Pump;801_1526_AXIAL;2021-03-25 08:59:33;Overall Vib Vel;3Ax;7;3.683085;4.5;2.8;0.0;f6d8cb93e1c540d288ca9147e1369f42;1161;Wulro - Weert;IF112
62;14;WULROIF112;3-Pump-DE;Pump;801_1526_RADIAL2;2021-03-25 08:59:33;Overall Vib Vel;3RV;9;2.5576551;4.5;2.8;0.0;f2b159a62e8d4068886ffc06eda386db;1161;Wulro - Weert;IF112
63;15;WULROIF112;3-Pump-DE;Pump;801_1526_RADIAL1;2021-03-25 08:59:34;Overall Acc;3RH;8;0.3241041;4.0;2.0;0.0;e4d0f6405e504f8087847fe35e0da11b;1161;Wulro - Weert;IF112
64;16;WULROIF112;3-Pump-DE;Pump;801_1526_AXIAL;2021-03-25 08:59:34;Overall Acc;3Ax;7;0.27360666;4.0;2.0;0.0;634346544e974df3a8a662eabab30ae7;1161;Wulro - Weert;IF112
65;17;WULROIF112;3-Pump-DE;Pump;801_1526_RADIAL2;2021-03-25 08:59:34;Overall Acc;3RV;9;0.4930453;4.0;2.0;0.0;7c32af009edc42dfb600efa3d0da260a;1161;Wulro - Weert;IF112
66;18;WULROIF112;4-Pump-NDE;Pump;801_1527_RADIAL1;2021-03-25 09:01:12;Overall Vib Vel;4RH;11;4.6261764;4.5;2.8;0.0;6ee4f3cd4afd4566b0b2d5b1e6b785ed;1161;Wulro - Weert;IF112
67;19;WULROIF112;4-Pump-NDE;Pump;801_1527_AXIAL;2021-03-25 09:01:12;Overall Vib Vel;4Ax;10;2.4882567;4.5;2.8;0.0;c5f6be0effce48a59c1f1e4a5d2572ee;1161;Wulro - Weert;IF112
68;20;WULROIF112;4-Pump-NDE;Pump;801_1527_RADIAL2;2021-03-25 09:01:12;Overall Vib Vel;4RV;12;1.1539613;4.5;2.8;0.0;ebf432a1903646ceb307081da504bf2c;1161;Wulro - Weert;IF112
69;21;WULROIF112;4-Pump-NDE;Pump;801_1527_RADIAL1;2021-03-25 09:01:13;Overall Acc;4RH;11;0.40040314;4.0;2.0;0.0;7e563462e2164421a45e1d1d5904ccbc;1161;Wulro - Weert;IF112
70;22;WULROIF112;4-Pump-NDE;Pump;801_1527_AXIAL;2021-03-25 09:01:13;Overall Acc;4Ax;10;0.3316085;4.0;2.0;0.0;51798433669a46cb9dd576b8ad119742;1161;Wulro - Weert;IF112
71;23;WULROIF112;4-Pump-NDE;Pump;801_1527_RADIAL2;2021-03-25 09:01:13;Overall Acc;4RV;12;0.3906652;4.0;2.0;0.0;3e283c698fcc4e1d92aeb8f353991a5b;1161;Wulro - Weert;IF112
72;0;WULROIF114;1-Electric motor-NDE;Electric motor;799_1524_RADIAL1;2021-10-21 10:13:08;Overall Vib Vel;1RH;2;8.9819412;4.5;2.8;0.0;7de1806adfbf404fa950c9404452b3f3;1161;Wulro - Weert;IF114
73;1;WULROIF114;1-Electric motor-NDE;Electric motor;799_1524_AXIAL;2021-10-21 10:13:08;Overall Vib Vel;1Ax;1;4.5103474;4.5;2.8;0.0;9a7fbe9140f445f88ea8743bf819b907;1161;Wulro - Weert;IF114
74;2;WULROIF114;1-Electric motor-NDE;Electric motor;799_1524_RADIAL2;2021-10-21 10:13:08;Overall Vib Vel;1RV;3;3.2086575;4.5;2.8;0.0;879aea589bc24667ba4e08b538bb0bac;1161;Wulro - Weert;IF114
75;3;WULROIF114;1-Electric motor-NDE;Electric motor;799_1524_RADIAL1;2021-10-21 10:13:09;Overall Acc;1RH;2;0.39852396;4.0;2.0;0.0;5882c6a0521c49c99a13a2cc9d8c6b03;1161;Wulro - Weert;IF114
76;4;WULROIF114;1-Electric motor-NDE;Electric motor;799_1524_AXIAL;2021-10-21 10:13:09;Overall Acc;1Ax;1;0.29979584;4.0;2.0;0.0;4e6190c0112443d2bfb4c47d9260fed7;1161;Wulro - Weert;IF114
77;5;WULROIF114;1-Electric motor-NDE;Electric motor;799_1524_RADIAL2;2021-10-21 10:13:09;Overall Acc;1RV;3;0.71380436;4.0;2.0;0.0;02e29860d0cd4fc5acfaf44ab933cc74;1161;Wulro - Weert;IF114
78;6;WULROIF114;2-Electric motor-DE;Electric motor;799_1525_RADIAL1;2021-10-21 10:13:51;Overall Vib Vel;2RH;5;4.5684991;4.5;2.8;0.0;ca76a60673db40e09785c3b2806153be;1161;Wulro - Weert;IF114
79;7;WULROIF114;2-Electric motor-DE;Electric motor;799_1525_AXIAL;2021-10-21 10:13:51;Overall Vib Vel;2Ax;4;4.7629838;4.5;2.8;0.0;ab7e60ee0b9442d6a2e837f54643c00b;1161;Wulro - Weert;IF114
80;8;WULROIF114;2-Electric motor-DE;Electric motor;799_1525_RADIAL2;2021-10-21 10:13:51;Overall Vib Vel;2RV;6;2.146589;4.5;2.8;0.0;bc0e0ce15650448daed2cd976de4213f;1161;Wulro - Weert;IF114
81;9;WULROIF114;2-Electric motor-DE;Electric motor;799_1525_RADIAL1;2021-10-21 10:13:52;Overall Acc;2RH;5;0.28701964;4.0;2.0;0.0;9a8c66794aba42cdaa2dc07237df4d5b;1161;Wulro - Weert;IF114
82;10;WULROIF114;2-Electric motor-DE;Electric motor;799_1525_AXIAL;2021-10-21 10:13:52;Overall Acc;2Ax;4;0.17501983;4.0;2.0;0.0;2b124b81596f49d5b18c9cb7f95de61e;1161;Wulro - Weert;IF114
83;11;WULROIF114;2-Electric motor-DE;Electric motor;799_1525_RADIAL2;2021-10-21 10:13:52;Overall Acc;2RV;6;0.54683465;4.0;2.0;0.0;2b2530b61c7e4ebe8c6de3f8485ff47a;1161;Wulro - Weert;IF114
